...Slice...
1 Num Comps
1 Total Num Meshes
6240 Total Num Tris
0.00000 1.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.587     0.000     0.000     0.000     0.000
   -0.538     0.275    -0.538     0.246     1.890
   -0.489     0.240    -0.489     0.150     2.960
   -0.440     0.242    -0.440     0.116     3.599
   -0.391     0.282    -0.391     0.098     4.104
   -0.342     0.351    -0.342     0.088     4.510
   -0.293     0.430    -0.293     0.083     4.867
   -0.244     0.513    -0.244     0.080     5.183
   -0.196     0.597    -0.196     0.080     5.460
   -0.147     0.680    -0.147     0.081     5.708
   -0.098     0.753    -0.098     0.083     5.948
   -0.049     0.830    -0.049     0.087     6.177
   -0.000     0.877    -0.000     0.089     6.304
    0.049     0.830     0.049     0.087     6.177
    0.098     0.753     0.098     0.083     5.948
    0.147     0.680     0.147     0.081     5.708
    0.196     0.597     0.196     0.080     5.460
    0.244     0.513     0.244     0.080     5.183
    0.293     0.430     0.293     0.083     4.867
    0.342     0.351     0.342     0.088     4.510
    0.391     0.282     0.391     0.098     4.104
    0.440     0.242     0.440     0.116     3.599
    0.489     0.240     0.489     0.150     2.960
    0.538     0.275     0.538     0.246     1.890
    0.587     0.000     0.000     0.000     0.000
