...Slice...
1 Num Comps
1 Total Num Meshes
1888 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.000     0.000     0.000     0.000     0.000
    2.857     2.857     0.000     0.282     2.166
    5.714     5.714     0.000     0.675     4.545
    8.571     8.571    -0.000     0.900     5.998
   11.429    11.429    -0.000     1.057     7.874
   14.286    14.286    -0.000     1.109    12.590
   17.143    17.143    -0.000     1.090    13.040
   20.000    20.000    -0.000     1.044    13.310
   22.857    22.857    -0.000     0.976    13.298
   25.714    25.714     0.000     0.942    13.198
   28.571    28.571     0.000     0.911    13.353
   31.429    31.429     0.000     0.485    14.282
   34.286    34.286     0.000     0.469    15.863
   37.143    37.143    -0.000     0.609    11.312
   40.000     0.000     0.000     0.000     0.000
