WARNING: 1 open meshes merged
     Merged: MeshGeom
...Slice...
1 Num Comps
1 Total Num Meshes
2568 Total Num Tris
0.00000 1.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -2.000     0.000     0.000     0.000     0.000
   -1.918     4.318    -1.918    -0.298     0.711
   -1.837     4.325    -1.837    -0.295     0.733
   -1.755     4.331    -1.755    -0.293     0.755
   -1.674     4.338    -1.674    -0.290     0.777
   -1.592     4.345    -1.592    -0.287     0.800
   -1.510     4.351    -1.510    -0.285     0.822
   -1.429     4.357    -1.429    -0.283     0.845
   -1.347     4.364    -1.347    -0.280     0.868
   -1.265     4.371    -1.265    -0.277     0.892
   -1.184     4.377    -1.184    -0.275     0.916
   -1.102     4.384    -1.102    -0.272     0.940
   -1.020     4.390    -1.020    -0.270     0.964
   -0.939     4.396    -0.939    -0.267     0.989
   -0.857     4.403    -0.857    -0.265     1.015
   -0.776     4.409    -0.776    -0.262     1.040
   -0.694     4.416    -0.694    -0.260     1.065
   -0.612     4.204    -0.612    -0.098     2.198
   -0.531     4.023    -0.531    -0.019     3.673
   -0.449     4.034    -0.449    -0.000     5.059
   -0.367     4.124    -0.367     0.000     6.491
   -0.286     4.231    -0.286    -0.000     7.605
   -0.204     4.331    -0.204    -0.000     8.591
   -0.122     4.422    -0.122    -0.000     9.197
   -0.041     4.478    -0.041    -0.000     9.585
    0.041     4.478     0.041    -0.000     9.585
    0.122     4.422     0.122    -0.000     9.197
    0.204     4.331     0.204    -0.000     8.591
    0.286     4.231     0.286    -0.000     7.605
    0.367     4.124     0.367    -0.000     6.491
    0.449     4.034     0.449    -0.000     5.059
    0.531     4.023     0.531    -0.019     3.673
    0.612     4.204     0.612    -0.098     2.198
    0.694     4.416     0.694    -0.260     1.065
    0.776     4.409     0.776    -0.262     1.040
    0.857     4.403     0.857    -0.265     1.015
    0.939     4.396     0.939    -0.267     0.989
    1.020     4.390     1.020    -0.270     0.964
    1.102     4.384     1.102    -0.272     0.940
    1.184     4.377     1.184    -0.275     0.916
    1.265     4.371     1.265    -0.277     0.892
    1.347     4.364     1.347    -0.280     0.868
    1.429     4.357     1.429    -0.283     0.845
    1.510     4.351     1.510    -0.285     0.822
    1.592     4.345     1.592    -0.287     0.800
    1.674     4.338     1.674    -0.290     0.777
    1.755     4.331     1.755    -0.293     0.755
    1.837     4.325     1.837    -0.295     0.733
    1.918     4.318     1.918    -0.298     0.711
    2.000     0.000     0.000     0.000     0.000
